Candidate,Party,Status,State,Constituency,Age,Gender
SHANKAR MARDI,Bahujan Mukti Party,Accepted,West Bengal ,Harirampur,40,male
Narottam Saha,Amra Bangalee,Accepted,West Bengal ,Balurghat,49,male
KASHINATH PAL,Rashtriya Secular Majlis Party,Accepted,West Bengal ,Mayureswar,54,male
BAPI KUMAR RUIDAS,Bahujan Samaj Party,Accepted,West Bengal ,Kulti,28,male
Mohammad Mustaqim,Rashtriya Secular Majlis Party,Accepted,West Bengal ,Asansol Uttar,46,male
MOSARAF HOSSAIN MONDAL (MADHU),Indian National Congress,Accepted,West Bengal ,Naoda,42,male
TANMOY BISWAS,Bharatiya Janata Party,Accepted,West Bengal ,Hariharpara,34,male
MUNNI MALI,Sajag Samaj Party,Accepted,West Bengal ,Shyampukur,46,female
BIPAD TARAN BAGDI,Indian National Congress,Accepted,West Bengal ,Khargram,48,male
SANJAY MAJHI,Bahujan Mukti Party,Accepted,West Bengal ,Barabani,29,male
BABLU KISKU,Bahujan Samaj Party,Accepted,West Bengal ,Tapan,42,male
KAFIRUDDIN SK,Indian National Congress,Accepted,West Bengal ,Rejinagar,46,male
ATUL CHANDRA BAURI,Bahujan Mukti Party,Accepted,West Bengal ,Pandabeswar,67,male
BISWAJIT MONDAL,Bharatiya Janata Party,Accepted,West Bengal ,Labhpur,48,male
SIDDHARTHA BANERJEE,Paradise Party,Accepted,West Bengal ,Bolpur,47,male
ABUBAKKAR MANDAL,Independent,Accepted,West Bengal ,Hariharpara,64,male
AMIYA KUMAR DAS,Bharatiya Janata Party,Accepted,West Bengal ,Burwan,37,male
AMIR SOHAIL,"Justice and Development Party,",Accepted,West Bengal ,Domkal,27,male
Bhakta Prasad Saha,Independent,Accepted,West Bengal ,Chanchal,34,male
BIYAMMA MONDAL (RUBIA),Bharatiya Janata Party,Accepted,West Bengal ,Domkal,39,female
CHHANDA SAHA,Bharatiya Nyay-Adhikar Raksha Party,Accepted,West Bengal ,Ballygunge,55,female
HIKMAT ALI,Indian Union Muslim League,Accepted,West Bengal ,Domkal,61,male
SHREE NARAYAN TANDON,Independent,Accepted,West Bengal ,Kashipur-Belgachhia,60,male
INDRAJIT BAGDI,Independent,Accepted,West Bengal ,Hariharpara,51,male
AVIK DAS,Independent,Withdrawn,West Bengal ,Domkal,46,male
KOUSHIK MISRA(SAHEB),Communist Party of India  (Marxist),Accepted,West Bengal ,Englishbazar,42,male
Shyamapada Mondal,Bharatiya Janata Party,Accepted,West Bengal ,Mayureswar,51,male
Sanjay Das,Bahujan Mukti Party,Accepted,West Bengal ,Dubrajpur,39,male
Mukul Sarkar,Bahujan Samaj Party,Accepted,West Bengal ,Maldaha,44,male
AMITAVA DUTTA,Independent,Accepted,West Bengal ,Ballygunge,54,male
SUSHANTA GHOSH,Independent,Accepted,West Bengal ,Jorasanko,58,male
Akhruzzaman,All India Trinamool Congress,Accepted,West Bengal ,RaghunathGanj,56,male
SHRINATH TUDU,Bahujan Samaj Party,Accepted,West Bengal ,Habibpur,37,male
MEENA DEVI PUROHIT,Bharatiya Janata Party,Accepted,West Bengal ,Jorasanko,60,female
Bhupendra Nath Halder (Arjun),Indian National Congress,Accepted,West Bengal ,Maldaha,54,male
Mst Masuara Khatun,Bharatiya Janata Party,Accepted,West Bengal ,Raninagar,51,female
ADITYA PRAKASH DASGUPTA,Independent,Accepted,West Bengal ,Englishbazar,40,male
BHANU PRATAP SHARMA,Bahujan Samaj Party,Accepted,West Bengal ,Jamuria,61,male
HARENDRANATH SARKAR,Independent,Accepted,West Bengal ,Baisnabnagar,66,male
IMAN KALYAN MUKHERJEE,Bharatiya Janata Party,Accepted,West Bengal ,Bharatpur,38,male
NAWAL MONDAL,Independent,Accepted,West Bengal ,Jorasanko,43,male
KURBAN ANSARI,Independent,Accepted,West Bengal ,Baisnabnagar,39,male
NIRAJ AGARWAL,Independent,Accepted,West Bengal ,Rashbehari,39,male
KAMALESH CHATTERJEE,Indian National Congress,Accepted,West Bengal ,Bharatpur,46,male
Abul Kashem Biswas,Indian National Congress,Accepted,West Bengal ,RaghunathGanj,54,male
KAUSHIK GHOSHAL,Independent,Accepted,West Bengal ,Ballygunge,43,male
AZIZUL HOQUE,Indian National Congress,Accepted,West Bengal ,Baisnabnagar,61,male
TAPAS KUMAR YADAV(ANANDA YADAV),Bharatiya Janata Party,Accepted,West Bengal ,Nalhati,52,male
KHADEM A DASTEGIR,Independent,Accepted,West Bengal ,Bharatpur,63,male
GOPAL GHOSH,Independent,Accepted,West Bengal ,Rashbehari,49,male
CHANDRA MALLIKA BANDOPADHYAY,Independent,Accepted,West Bengal ,Durgapur Paschim,44,female
Bhaskar Das,Bahujan Samaj Party,Accepted,West Bengal ,Dubrajpur,40,male
SAJJAD HOSSAIN,All India Majlis-E-Ittehadul Muslimeen,Accepted,West Bengal ,Bharatpur,31,male
PANKAJ THAKKAR,Independent,Accepted,West Bengal ,Rashbehari,38,male
SANDIP SIKDER,Republican Party of India (Athawale),Accepted,West Bengal ,Durgapur Paschim,44,male
